,,Ottawa - Gatineau (Census Metropolitan Area)  Ontario,,,,,,Prairie Mountain Health (2013 Health Region)  Manitoba
Topic,Characteristics,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Well-being,Perceived health; very good or excellent (%),63.6,,63.4,,63.8,,56.8,,58.0,,55.7,
Well-being,Perceived mental health; very good or excellent (%),72.3,,73.3,,71.4,,67.7,,68.1,,67.2,
Well-being,Perceived life stress (%),23,,21.6,,24.5,,22.8,,20.3,,25.1,
Health Conditions,Overweight or obese (%),49,,57,,41,,61.2,,68.0,,54.3,
Health Conditions,Overweight (%),31.4,,37.8,,24.9,,36.9,,43.7,,29.9,
Health Conditions,Obese (%),17.6,,19.2,,16.1,,24.3,,24.2,,24.4,
Health Conditions,Arthritis (%),14.1,,10.4,,17.7,,20.7,,16.9,,24.3,
Health Conditions,Diabetes (%),5.3,,6,,4.6,E,7.2,,8.4,,6.0,
Health Conditions,Asthma (%),10.1,,8,,12.1,,9.7,,8.6,E,10.8,E
Health Conditions,High blood pressure (%),15.8,,15.6,,16.1,,19.9,,18.7,,21.1,
Health Conditions,Mood disorder (%),9,,7.2,,10.7,,8.9,,5.5,E,12.0,
Health Conditions,Pain or discomfort; moderate or severe (%),13,,9.7,,16.1,,12.0,,7.6,,16.2,
Health Conditions,Pain or discomfort that prevents activities (%),13.8,,10.4,,17.1,,14.5,,11.0,,17.8,
Health Conditions,Low birth weight (% of live births),,..,,..,,..,,..,,..,,..
Health Conditions,Chronic obstructive pulmonary disease (COPD) (%),3.8,,2.4,E,5.1,E,4.2,E,2.8,E,5.4,E
Health Conditions,Injuries within the past 12 months causing limitation of normal activities (%),,..,,..,,..,,..,,..,,..
Health Conditions,Injuries in the past 12 months; sought medical attention (%),,..,,..,,..,,..,,..,,..
Health Conditions,Hospitalized stroke event rate (per 100000 population),,..,,..,,..,,..,,..,,..
Health Conditions,Hospitalized acute myocardial infarction event rate (per 100000 population),,..,,..,,..,,..,,..,,..
Health Conditions,Injury hospitalization (per 100000 population),,..,,..,,..,,..,,..,,..
Health Conditions,Cancer incidence (per 100000 population),385.7,,452.4,,338.1,,,..,,..,,..
Health Conditions,Colon cancer incidence (per 100000 population),49.8,,60.8,,40.8,,,..,,..,,..
Health Conditions,Lung cancer incidence (per 100000 population),56.1,,70.2,,45.9,,,..,,..,,..
Health Conditions,Breast cancer incidence (per 100000 population),,...,,...,86.2,,,...,,...,,..
Health Conditions,Prostate cancer incidence (per 100000 population),,...,116.4,,,...,,...,,..,,...
Health Behaviours,Current smoker; daily or occasional (%),17.6,,20.8,,14.5,,19.6,,19.3,,20.0,
Health Behaviours,Current smoker; daily (%),12.6,,14.6,,10.8,,15.9,,16.1,,15.8,
Health Behaviours,Heavy drinking (%),19.6,,28.1,,11.5,,18.4,,26.2,,11.2,
Health Behaviours,Leisure-time physical activity; moderately active or active (%),60.4,,63.9,,57,,52.4,,54.0,,50.9,
Health Behaviours,Fruit and vegetable consumption; 5 times or more per day (%),41,,34.4,,47.4,,33.9,,26.5,,41.2,
Health Behaviours,Bike helmet use (%),,..,,..,,..,,..,,..,,..
