,,Trois-Rivières (Census Metropolitan Area)  Quebec,,,,,,Prairie Mountain Health (2013 Health Region)  Manitoba
Topic,Characteristics,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Well-being,Perceived health; very good or excellent (%),57.1,,58.5,,55.6,,56.8,,58.0,,55.7,
Well-being,Perceived mental health; very good or excellent (%),72.7,,75.9,,69.5,,67.7,,68.1,,67.2,
Well-being,Perceived life stress (%),29,,24.3,,33.6,,22.8,,20.3,,25.1,
Health Conditions,Overweight or obese (%),49.8,,57.6,,41.5,,61.2,,68.0,,54.3,
Health Conditions,Overweight (%),33.8,,39.8,,27.5,,36.9,,43.7,,29.9,
Health Conditions,Obese (%),16,,17.9,,14,,24.3,,24.2,,24.4,
Health Conditions,Arthritis (%),14.4,,10,E,18.7,E,20.7,,16.9,,24.3,
Health Conditions,Diabetes (%),6.6,,7.6,E,5.6,E,7.2,,8.4,,6.0,
Health Conditions,Asthma (%),7.1,E,5.5,E,8.6,E,9.7,,8.6,E,10.8,E
Health Conditions,High blood pressure (%),18.8,,19.8,,17.8,E,19.9,,18.7,,21.1,
Health Conditions,Mood disorder (%),5.4,E,4.7,E,6.2,E,8.9,,5.5,E,12.0,
Health Conditions,Pain or discomfort; moderate or severe (%),13.3,,12.4,E,14.1,,12.0,,7.6,,16.2,
Health Conditions,Pain or discomfort that prevents activities (%),11.3,,10.4,E,12.1,E,14.5,,11.0,,17.8,
Health Conditions,Low birth weight (% of live births),,..,,..,,..,,..,,..,,..
Health Conditions,Chronic obstructive pulmonary disease (COPD) (%),7.8,E,6.3,E,,F,4.2,E,2.8,E,5.4,E
Health Conditions,Injuries within the past 12 months causing limitation of normal activities (%),,..,,..,,..,,..,,..,,..
Health Conditions,Injuries in the past 12 months; sought medical attention (%),,..,,..,,..,,..,,..,,..
Health Conditions,Hospitalized stroke event rate (per 100000 population),,..,,..,,..,,..,,..,,..
Health Conditions,Hospitalized acute myocardial infarction event rate (per 100000 population),,..,,..,,..,,..,,..,,..
Health Conditions,Injury hospitalization (per 100000 population),,..,,..,,..,,..,,..,,..
Health Conditions,Cancer incidence (per 100000 population),391.5,,462.2,,351.1,,,..,,..,,..
Health Conditions,Colon cancer incidence (per 100000 population),48.8,,62.1,,39.1,,,..,,..,,..
Health Conditions,Lung cancer incidence (per 100000 population),63.6,,83.6,,51.5,,,..,,..,,..
Health Conditions,Breast cancer incidence (per 100000 population),,...,,...,89.6,,,...,,...,,..
Health Conditions,Prostate cancer incidence (per 100000 population),,...,102.2,,,...,,...,,..,,...
Health Behaviours,Current smoker; daily or occasional (%),20.9,,20.1,,21.6,E,19.6,,19.3,,20.0,
Health Behaviours,Current smoker; daily (%),17.6,,17.8,,17.4,E,15.9,,16.1,,15.8,
Health Behaviours,Heavy drinking (%),18.4,,26.2,,10.6,E,18.4,,26.2,,11.2,
Health Behaviours,Leisure-time physical activity; moderately active or active (%),53.3,,51.6,,54.9,,52.4,,54.0,,50.9,
Health Behaviours,Fruit and vegetable consumption; 5 times or more per day (%),48.4,,40.5,,56.4,,33.9,,26.5,,41.2,
Health Behaviours,Bike helmet use (%),,..,,..,,..,,..,,..,,..
Human Function,Participation and activity limitation; sometimes or often (%),,..,,..,,..,,..,,..,,..
